city,city_code,town,town_code,unit,vote_class,electors,turnout,source_file
전라남도,4600,장성군,4609,북일면,관내사전투표,494,494,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,북이면,관내사전투표,1025,1025,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,북하면,관내사전투표,775,775,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,곡성군,4610,곡성읍,관내사전투표,2824,2821,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,오곡면,관내사전투표,657,657,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,삼기면,관내사전투표,609,608,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,석곡면,관내사전투표,912,912,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,목사동면,관내사전투표,511,511,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,죽곡면,관내사전투표,736,736,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,고달면,관내사전투표,351,351,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,옥과면,관내사전투표,1618,1618,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,입면,관내사전투표,841,841,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,겸면,관내사전투표,556,556,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,곡성군,4610,오산면,관내사전투표,475,475,data/nec_2026_official_html/4600_4610_곡성군.html
전라남도,4600,구례군,4611,구례읍,관내사전투표,3103,3102,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,문척면,관내사전투표,691,691,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,간전면,관내사전투표,603,602,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,토지면,관내사전투표,866,866,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,마산면,관내사전투표,976,975,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,광의면,관내사전투표,760,760,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,용방면,관내사전투표,494,494,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,구례군,4611,산동면,관내사전투표,881,881,data/nec_2026_official_html/4600_4611_구례군.html
전라남도,4600,고흥군,4612,고흥읍,관내사전투표,3554,3553,data/nec_2026_official_html/4600_4612_고흥군.html
전라남도,4600,고흥군,4612,도양읍,관내사전투표,3556,3555,data/nec_2026_official_html/4600_4612_고흥군.html
전라남도,4600,고흥군,4612,풍양면,관내사전투표,1155,1155,data/nec_2026_official_html/4600_4612_고흥군.html
전라남도,4600,고흥군,4612,도덕면,관내사전투표,1090,1090,data/nec_2026_official_html/4600_4612_고흥군.html
