signature_type,election,category,contest,vote_class,signature,unit,candidate_names
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,32|44,대평면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,39|84,백전면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,39|84,산내면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,59|63,서하면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,59|63,진례면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,44|75,개진면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,44|75,화북면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,87|90,공검면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,87|90,상운면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,95|126,화남면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,교육감,경상북도|경상북도,관내사전투표,95|126,화산면|관내사전투표,안상섭|임종식
top2_candidates,2018-local,구·시·군의장,경상북도|상주시,관내사전투표,58|58,내서면|관내사전투표,정송|황천모
top2_candidates,2018-local,구·시·군의장,경상북도|상주시,관내사전투표,58|58,화북면|관내사전투표,정송|황천모
top2_candidates,2018-local,시·도지사,대구광역시|대구광역시,관내사전투표,559|674,관음동|관내사전투표,임대윤|권영진
top2_candidates,2018-local,시·도지사,대구광역시|대구광역시,관내사전투표,559|674,현풍면|관내사전투표,임대윤|권영진
top2_candidates,2018-local,교육감,부산광역시|부산광역시,관내사전투표,117|75,서대신제1동|관내사전투표,함진홍|박효석
top2_candidates,2018-local,교육감,부산광역시|부산광역시,관내사전투표,117|75,서제3동|관내사전투표,함진홍|박효석
top2_candidates,2018-local,교육감,전라북도|전라북도,관내사전투표,26|118,대강면|관내사전투표,이재경|서거석
top2_candidates,2018-local,교육감,전라북도|전라북도,관내사전투표,26|118,주생면|관내사전투표,이재경|서거석
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,130|207,방배2동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,130|207,천연동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,15|34,원효로제1동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,15|34,창신제2동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,25|58,성수1가제2동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,25|58,응봉동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,26|51,내곡동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,26|51,능동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,33|52,신길제3동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,33|52,용산2가동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,42|65,도림동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,42|65,도봉1동|관내사전투표,최보선|윤호상
top2_candidates,2022-local,시·도지사,전라남도|전라남도,관내사전투표,377|90,동복면|관내사전투표,김영록|이정현
top2_candidates,2022-local,시·도지사,전라남도|전라남도,관내사전투표,377|90,장산면|관내사전투표,김영록|이정현
top2_candidates,2022-local,교육감,전라북도|전라북도,관내사전투표,334|90,부귀면|관내사전투표,서거석|김윤태
top2_candidates,2022-local,교육감,전라북도|전라북도,관내사전투표,334|90,이백면|관내사전투표,서거석|김윤태
top2_candidates,2022-local,교육감,충청남도|충청남도,관내사전투표,155|167,부석면|관내사전투표,김지철|이병학
top2_candidates,2022-local,교육감,충청남도|충청남도,관내사전투표,155|167,북면|관내사전투표,김지철|이병학
top2_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,내북면|관내사전투표,노영민|김영환
top2_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,양산면|관내사전투표,노영민|김영환
top2_candidates,2022-presidential,대통령,전국,관내사전투표,326|386,강원도|화천군|간동면|관내사전투표,이재명|윤석열
top2_candidates,2022-presidential,대통령,전국,관내사전투표,326|386,충청남도|부여군|구룡면|관내사전투표,이재명|윤석열
